Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
2.9939999999999998,0.5703,1.7185,1.3232,115.0972,32.6215,61.1729
5.452000000000001,0.3278,1.6598,1.3334,63.5202,-65.6374,42.6352
10.91,0.2859,2.9737,1.8715,-3.9402,16.4055,134.5426
3.79,0.1861,2.3962,1.4189,52.3589,-18.1505,62.8894
9.991,0.224,2.2205,1.4966,20.1592,-98.4284,-36.1467
7.632000000000001,0.3376,2.2651,1.5902,146.8679,9.6582,-88.0542
8.292,0.6061,2.5195,1.377,-69.8455,81.8585,-1.0712
7.172000000000001,0.4181,2.4628,1.6662,42.5172,-91.4808,-111.0818
9.61,0.7479,2.4214,1.3276,0.9633,116.1414,34.5659
4.853,0.1764,2.5025,1.5364,81.0973,-23.2808,7.2973
7.528,0.587,2.6303,1.5106,16.7027,5.9015,-62.7068
11.48,0.5642,2.3704,1.4455,-17.1371,27.9054,-5.1857
6.247000000000001,0.0615,2.6825,1.7561,-49.6251,-113.6871,93.2073
4.053999999999999,0.0989,2.6159,1.4881,32.9979,-92.3786,-84.2033
8.913,0.3855,2.7156,1.6824,-58.3083,51.4318,-131.4127
14.42,0.8735,1.6319,1.3323,235.4139,69.6508,21.6301
12.3,0.7848,2.7078,1.52,-89.5868,-37.7524,-41.9167
7.568,0.5103,1.6118,1.3116,-0.0241,-64.9635,78.613
10.11,0.7846,2.467,1.4377,15.3291,28.5224,1.0533
8.215,0.5347,2.3606,1.4177,-26.8215,-12.9521,11.9082
8.207,0.4935,2.1229,1.4465,-5.9936,78.0704,-79.7926
5.2010000000000005,0.1908,2.3862,1.5611,-66.7189,24.6851,43.5728
8.415,0.7292,2.7504,1.4674,40.6943,-24.9288,-8.3621
5.011,0.1989,2.4409,1.4436,40.5295,-5.2249,36.3262
11.72,0.8475,1.9904,1.376,-407.1182,23.6482,-93.5323
6.357,0.5399,2.6814,1.6627,-89.6423,76.3849,-85.1284
4.433,0.4975,2.7442,1.4698,24.7222,101.3214,-24.7943
3.034,0.2855,2.0126,1.3755,23.4176,-71.5002,-16.803
12.14,0.5213,2.3687,1.6862,-14.4502,78.357,162.369
7.1370000000000005,0.2025,2.1986,1.4653,42.7931,-71.5299,-76.3997
5.531000000000001,0.328,2.8407,1.3122,67.2009,82.587,110.6072
5.732,0.3032,2.7202,1.6765,-125.6196,79.773,-8.8253
3.361,0.3561,1.7761,1.3632,-113.897,33.6623,-58.8797
9.442,0.7094,2.7519,1.4787,-42.7469,8.2373,-16.4004
9.889,0.4841,2.5313,1.6763,41.6445,-82.1106,-132.5164
7.41,0.6177,1.9899,1.353,11.5588,-36.7587,-36.3857
3.9960000000000004,0.3566,2.1827,1.3885,-34.098,-3.9444,-28.6815
9.879,0.8062,2.8521,1.5688,195.7977,240.9987,279.5834
6.853,0.5592,2.4753,1.304,-60.0518,56.7746,1.1481
