#a/Rsun e m1/Msun m2/Msun vx/kms vy/kms vz/kms
1.115 0.0740 2.1707 1.3740 73.6781 -14.0506 -42.5970
4.396 0.1422 2.6289 1.4853 -54.2809 -56.4132 44.0595
5.398 0.4375 2.5427 1.4405 -8.6076 14.1299 -39.9229
0.7419 0.5532 2.5404 1.3618 -146.9431 -145.6833 -159.9257
3.987 0.7922 2.1118 1.3771 127.4610 79.3029 -185.1516
1227 0.9978 2.1753 1.9409 65.1739 -35.0942 -34.4762
10.19 0.6168 2.1232 1.4464 52.6170 -105.1142 91.6871
5.46 0.4655 2.3952 1.5436 83.4905 -58.6621 -101.2984
0.4205 0.2835 1.6220 1.3751 -147.4247 373.8849 253.5520
0.9797 0.2885 1.3756 1.3404 58.5598 -86.9159 -189.4010
10.22 0.7654 1.7160 1.3377 92.4776 81.2768 -30.6704
15.91 0.4715 2.3961 1.6468 79.3424 -62.8326 19.5008
149.4 0.9986 1.8135 1.8524 30.0104 44.0309 49.4278
13.64 0.6934 2.5681 1.6774 11.0880 141.1186 -42.6030
0.4708 0.3422 2.6427 1.3293 -144.8936 -4.0835 -409.8136
28.54 0.4978 1.9446 1.4378 8.4343 23.3778 69.9382
2.22 0.0989 1.9933 1.3688 51.4131 -11.1932 -22.6644
7.462 0.6806 2.7769 1.5416 -33.7950 17.2098 85.2989
5.888 0.6122 2.2580 1.4845 -12.0347 -19.6733 229.8654
6.496 0.5361 2.5407 1.4404 -54.2251 12.7128 28.3172
54.16 0.6002 1.9139 1.4238 -28.4015 -14.4310 39.5865
122.4 0.9039 2.1550 1.5430 -95.8469 -79.0067 4.9800
1.028 0.1758 2.2685 1.3006 -22.3016 -29.5035 6.5104
3.418 0.3714 2.6015 1.4371 -41.6381 50.1494 38.2907
1.303 0.0196 1.6196 1.3173 -53.1305 -69.1723 39.5901
13.3 0.7597 2.9318 1.6616 180.9619 -165.3055 173.5320
3.758 0.3095 2.8257 1.5889 37.3081 -103.5350 16.7832
1.608 0.3909 2.0175 1.3679 70.7656 -31.4243 -120.6680
2.138 0.1066 1.9920 1.3666 -381.6953 88.9039 252.5387
2.984 0.0674 2.9068 1.6525 69.0370 36.6272 -131.4114
4.511 0.4713 2.3844 1.4474 130.0431 -36.9984 2.3764
0.5941 0.5115 2.6777 1.3982 92.7348 21.0258 241.1804
126.9 0.9017 1.8716 1.9340 80.3440 -17.6272 20.7439
0.05051 0.0556 1.3027 1.3014 452.8348 175.4458 140.9559
4.139 0.8537 2.3142 1.4913 128.5179 56.6254 -217.9445
0.1023 0.4637 1.5481 1.4559 277.8272 476.3506 -844.7243
4.252 0.3992 2.9862 1.7443 89.9021 37.3534 -98.0342
0.906 0.4303 1.3277 1.3195 120.9010 102.9019 -126.3657
140.1 0.9581 2.4906 1.4841 -16.0349 -26.2733 7.1241
2.085 0.1892 2.6872 1.4443 -62.8910 -10.7193 80.8173
4.548 0.2149 2.6231 1.5593 -55.7553 -85.9831 -26.7448
0.5424 0.1978 2.5761 1.3307 17.0843 -37.6972 59.5988
37.13 0.9602 1.7843 1.5095 -107.5867 -29.2531 -93.0988
2.524 0.4116 2.9542 1.3134 3.8940 -8.2966 18.9961
24.14 0.5362 2.1008 1.6072 -37.3380 -91.3310 42.3966
57.77 0.8586 2.2907 1.6042 53.4139 -46.8941 73.1271
0.6091 0.0803 2.6660 1.3196 -13.8665 26.7785 63.5313
7.001 0.6760 2.0022 1.3726 -23.0629 -22.0825 19.5979
3.191 0.6209 2.5904 1.4385 -137.7267 143.6146 106.3571
1.069 0.1246 1.6768 1.4262 -38.5459 107.7219 -148.6379
12.92 0.5823 1.5129 1.4519 -49.1799 -151.3993 18.5118
71.61 0.4661 2.3730 1.9387 -57.0228 78.2017 35.6387
16.98 0.9969 2.7013 1.6756 37.0855 -75.7742 -431.5463
83.91 0.9865 2.7675 1.4329 -82.8808 -40.4426 -180.5130
147.2 0.5578 1.8904 1.8927 16.5706 -2.5769 -43.3961
145.2 0.9392 2.1387 2.5144 8.2331 -10.0550 -52.7163
18.48 0.6033 2.0056 1.6465 -67.6571 -21.1760 -57.1333
36.34 0.8112 1.6004 1.3694 -17.3716 -38.2722 74.7899
0.6414 0.9419 2.5253 1.3294 -1.5506 204.2094 -234.0766
0.1729 0.0023 2.4378 1.3212 -102.9322 75.0265 -10.8561
234.8 0.6643 1.9383 2.0507 51.9878 -86.4697 -17.4644
1.149 0.6568 2.8484 1.4334 67.9516 -309.2149 214.3133
0.1295 0.4321 1.4197 1.3917 -622.9531 -649.8460 -263.5132
16.87 0.7662 2.8940 1.6779 -138.3037 18.8426 42.9145
2.604 0.4901 1.6829 1.3236 -139.1183 21.6136 101.4727
